2019-09-28T19:08:02.384-05:00[America/Chicago] testuser Successful
2019-09-28T19:10:57.720-05:00[America/Chicago] testuser Successful
2019-09-28T19:12:03.370-05:00[America/Chicago] testuser Failed
2019-09-28T19:12:08.963-05:00[America/Chicago] testuser Successful
2019-09-29T11:53:31.972-05:00[America/Chicago] testuser Successful
2019-10-01T13:04:18.148-05:00[America/Chicago] testuser Successful
2019-10-01T13:09:09.144-05:00[America/Chicago] testuser Failed
2019-10-01T13:09:13.831-05:00[America/Chicago] testuser Successful
2019-10-01T13:11:14.975-05:00[America/Chicago] testuser Successful
2019-10-01T13:11:53.483-05:00[America/Chicago] testuser Successful
2019-10-01T13:16:25.816-05:00[America/Chicago] testuser Successful
2019-10-01T13:19:59.259-05:00[America/Chicago] testuser Successful
2019-10-09T13:57:01.617-05:00[America/Chicago] testuser Successful
2019-10-09T13:57:44.580-05:00[America/Chicago] testuser Successful
2019-10-09T13:58:46.964-05:00[America/Chicago] testuser Successful
2019-10-09T13:59:52.984-05:00[America/Chicago] testuser Successful
2019-10-09T15:48:56.110-05:00[America/Chicago] testuser Successful
2019-10-09T15:51:23.746-05:00[America/Chicago] testuser Failed
2019-10-09T15:51:29.436-05:00[America/Chicago] testuser Successful
2019-10-09T15:53:05.982-05:00[America/Chicago] testuser Successful
2019-10-10T11:02:38.480-05:00[America/Chicago] testuser Successful
2019-10-10T11:03:05.929-05:00[America/Chicago] testuser Successful
2019-10-10T11:16:43.394-05:00[America/Chicago] testuser Successful
2019-10-10T11:25:41.473-05:00[America/Chicago] testuser Successful
2019-10-10T11:28:41.184-05:00[America/Chicago] testuser Successful
2019-10-10T11:30:08.708-05:00[America/Chicago] testuser Successful
2019-10-10T11:38:36.145-05:00[America/Chicago] testuser Failed
2019-10-10T11:38:40.786-05:00[America/Chicago] testuser Successful
2019-10-10T11:44:27.065-05:00[America/Chicago] testuser Successful
2019-10-10T11:45:43.423-05:00[America/Chicago] testuser Successful
2019-10-10T11:48:19.316-05:00[America/Chicago] testuser Successful
2019-10-10T13:46:44.173-05:00[America/Chicago] testuser Successful
2019-10-10T13:48:06.829-05:00[America/Chicago] testuser Successful
2019-10-10T13:48:28.825-05:00[America/Chicago] testuser Successful
